Site,Layer,SampleNo,Depth,Cyperaceae,Typha.Sparganium,Alternanthera,Apiaceae,Anemone,Asteraceae.HS,Asteraceae.LS,Centaurea,Asteraceae.Liguliflorae,Brassicaceae,Caryophyllaceae,Cheno.Am,Cirsium,Fagopyrum,Geraniaceae,Gossypium,Hypericaceae,Impatiens,Lamiaceae,Liliaceae,Melilotus,Onagraceae,Parthenocissus,PlantagoII,Plantago,Poaceae,Polygonaceae,Polygonum,Ranunculaceae,Richardia,Rosa,Rosaceae,Rubus,Rumex,Scrophulariaceae,Solanaceae,Trifolium,Trifolium.Repens.Type,Urtica,Verbena,Cerealea,Cerealea.Type.B,Zea,Acer,Aesculus,Ailanthus,Alnus,Betula,Carpinus,Carya,Castanea,Cornus,Diospyros,Fabaceae,Fagus,Fraxinus,Gleditsia,JuglansNigra,Liquidambar,Liriodendron,Magnolia,Malus.Pyrus,Myrtaceae,Nyssa.Aquatica,Nyssa.Sylvatica,Ostrya,Picea,Pinus,Platanus,Prunus,Quercus,Rhamnaceae,Rhus,Salix,Sambucus,TCT,Tilia,Tsuga,Ulmus,Viburnum,Vitis,Indeterminate,Unknown B,Unknown C,Osmunda,Aquatics,Herbs and Cultigens,Arboreal,Other,Ferns,Total Pollen Sum,Total Ferns
SS2,3,11,1.1,3,0,0,4,0,1,89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,26,3,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,11,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,28,5,0,38,0,0,2,1,9,0,0,1,0,0,4,1,0,0,3,139,102,5,0,249,0
SS2,3,12,1.2,2,0,0,8,0,0,79,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,9,11,1,0,0,0,0,1,1,0,0,0,2,3,0,0,3,2,1,0,0,1,0,0,0,2,11,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,35,11,2,46,0,0,4,0,18,0,2,1,0,0,4,0,0,0,2,124,138,4,0,268,0
SS2,3,13,1.3,1,0,0,21,0,1,83,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,7,16,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,1,0,3,1,1,0,1,11,0,0,0,2,0,0,3,0,1,0,0,0,1,0,0,0,22,6,1,51,0,0,3,0,10,0,2,1,0,2,5,0,0,0,1,137,123,5,0,266,0
SS2,3,14,1.4,4,0,0,46,0,2,93,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,16,15,0,0,0,0,1,1,0,0,0,0,2,1,0,0,4,1,0,0,0,0,3,0,0,2,11,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,18,1,2,33,0,0,0,0,17,0,0,0,0,0,7,0,1,0,4,188,92,8,0,292,0
SS2,4,15,1.5,5,0,0,10,0,1,100,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,15,0,0,0,0,0,1,0,0,0,1,1,1,0,0,3,2,0,2,0,2,0,3,0,1,6,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,14,6,3,38,0,0,3,0,14,0,0,1,1,1,7,0,0,0,5,153,99,7,0,264,0
SS2,4,16,1.6,4,0,0,5,0,1,106,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,26,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,2,0,2,0,2,0,2,11,0,0,0,2,1,0,2,0,0,0,0,0,0,0,1,0,17,5,2,31,0,1,2,0,11,0,0,0,0,1,6,0,0,0,4,158,95,6,0,263,0
SS2,4,17,1.7,3,0,0,3,0,0,74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,2,0,0,0,1,0,1,1,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,43,8,0,43,0,0,2,0,11,0,1,0,0,0,4,0,0,0,3,106,125,4,0,238,0
SS2,5,18,1.8,0,0,0,2,0,0,72,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,19,0,1,0,0,2,1,0,0,0,0,0,1,0,0,6,0,1,1,0,7,4,0,0,4,8,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,35,10,2,45,0,0,2,0,19,0,0,1,0,0,8,0,0,0,0,112,143,8,0,263,0
SS2,5,19,1.9,1,0,0,4,0,0,91,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,1,4,0,0,3,8,0,0,1,1,1,0,6,0,1,0,0,0,0,2,0,1,31,9,0,36,0,0,3,0,17,1,2,0,0,2,5,0,0,0,1,124,131,5,0,261,0
SS2,5,20,2,3,0,0,4,0,2,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,1,2,0,3,0,3,0,1,26,1,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,10,17,1,48,0,0,1,0,12,0,0,0,0,0,9,0,1,0,3,123,132,10,0,268,0
